,Unnamed: 0,algorithm,percentage,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
81,81.0,IM_0.2,0.9,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9658603256251097,0.5937052923367512,0.8993407045610702,0.9048678487525694,0.7216790161486388,0.9291331538877,0.9713147374554939,0.4451915375839881,0.875686483578215
82,82.0,IM_0.2,0.1,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.879671392057057,0.7040861690724541,0.9247779018526197,0.8763598431280164,0.7576657257402114,0.9280460102424842,0.9143156971297343,0.5825531695626738,0.8843162257346393
83,83.0,IM_0.2,0.2,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8915732622827615,0.6881240634528525,0.9280455662154415,0.8316901187470295,0.7826536405036121,0.925348837747473,0.9681510341259931,0.5078522893581345,0.8878449829598205
84,84.0,IM_0.2,0.3,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8773001704325225,0.7140425318441115,0.9091792070656757,0.7878681908517751,0.774059253782174,0.9219103194139533,0.946669535036644,0.48365747060709513,0.8560874756852809
85,85.0,IM_0.2,0.4,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8892683401738656,0.75187274120056,0.9253955645030729,0.7493495275671669,0.7944433496689108,0.9194848242649926,0.9284379316673589,0.4160361775720884,0.869438703294327
86,86.0,IM_0.2,0.5,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.869128504759342,0.7516597644070241,0.9074468101364255,0.7136329707431792,0.8279303731199609,0.9185554454570821,0.9358847323955246,0.43100814922591,0.8506632010100115
87,87.0,IM_0.2,0.6,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8890912042805937,0.802056953216854,0.9168310975235284,0.682951943350951,0.8195512112771925,0.9045432848232782,0.9463266473616034,0.43301905048801576,0.8771132271004565
88,88.0,IM_0.2,0.7,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8671598979792563,0.7846035257132457,0.9231788369076087,0.659340483531663,0.8231170696464811,0.8980067806688355,0.9426986391867075,0.40185727139013366,0.8737033008279855
89,89.0,IM_0.2,0.8,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8858540627445806,0.8205221756340703,0.9073851267641629,0.6323161784747384,0.8533583188964209,0.8903728997151897,0.9440077387713495,0.4805132802204778,0.8886475069327
90,90.0,IM_0.2,0.9,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8811712870783075,0.8402171342165183,0.9004778615644491,0.6154252277616648,0.8318308064740227,0.8740114442878868,0.9078935177482235,0.43863033244043853,0.8715444639371759
91,91.0,IM_0.2,1.0,ImpreciseActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9251383314940266,0.6954807764326355,0.9141587921275665
92,92.0,ALPHA,0.1,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.7286727455454846,0.4848698946073847,0.9151495783953696,0.6973838697146826,0.5138373489820122,0.927921721340003,0.7286727455454846,0.4559397438451619,0.9151495783953696,0.7288594155804818,0.28026690727581677,0.6893592350591227
93,93.0,ALPHA,0.2,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.7286727455454846,0.4848698946073847,0.9151495783953696,0.6736699882964173,0.49941552192496674,0.93010478712137,0.7286727455454846,0.4339951686923237,0.9151495783953696,0.7314546577391201,0.2771291556973387,0.6893592350591227
